Address,Tokens,Vesting Duration,Vesting Cliff,Percentage Vested
0x4343e7f7ea6AA2bbcA610963F11b427Fd0F910Ab,12500000,0,0,0
0x52dd73c78297e4af5b33759a655621dcd721b1a3,37500000,0,0,0
0x6b5dd4291529562022cba6053f4061f23d1cbc64,450000000,0,0,0
