Address,Tokens,Vesting Duration,Vesting Cliff,Percentage Vested
0x9e5c3fd624db4372e1ee66110ccbdab366327c16,8000000,0,0,0
0x7c11c86c607489c52a8112f8a1a5f80a0891789f,250000000,0,0,0
0xD60DFB6890Ef5DEE6Bad9739722D6A82f026B9F0,2000000,0,0,0,rize
